id,coordinates
13420,"35.383884,-119.104689"
17261,"35.38327,-119.148121"
1005714,"34.1422805786133,-118.073234558105"
11806,"34.074829,-118.072703"
9020,"38.742749,-121.252189"
9380,"38.761282,-121.249868"
7089,"34.128536,-117.83023"
13282,"33.878518,-117.965612"
10025,"34.521065,-117.322503"
15924,"38.546552,-121.760903"
9111,"38.578223,-121.487664"
14590,"37.756933,-122.252902"
7153,"40.45297,-122.288374"
18048,"38.94251,-121.091826"
8631,"38.054593,-122.155572"
91750,"37.881519317627,-122.269966125488"
7963,"38.656689578069,-120.97112021026"
9450,"37.280441,-121.950067"
17872,"33.679436,-118.00331"
10331,"36.53824,-121.90778"
6725,"37.696194,-122.07417"
9524,"39.762128,-121.822741"
17774,"37.966078,-121.991058"
65861,"37.700509,-122.482913"
7267,"38.560963,-121.766013"
18060,"36.597753,-121.850336"
9847,"38.457038,-121.838962"
6699,"37.704205,-121.87235"
17359,"37.705078125,-121.927398681641"
6560,"33.810966,-118.109439"
8095,"38.453486,-121.370154"
10614,"38.665096,-121.223983"
17129,"38.664745,-121.308426"
9621,"38.271858,-122.053209"
12576,"36.93817,-121.77717"
8643,"37.532467,-121.95763"
17924,"39.23792,-121.03418"
17734,"38.50193,-123.000382"
10502,"37.679154,-122.084254"
17740,"38.609119,-122.873642"
6562,"34.032819,-118.122654"
8647,"36.838593,-121.391443"
11018,"39.048572,-122.925463"
18262,"37.6979866027832,-121.74275970459"
9972,"37.680289,-121.777281"
7796,"38.117665,-121.305889"
1007483,"37.3791122436523,-122.118797302246"
17416,"38.370975,-120.799576"
17472,"37.958099,-122.093511"
7042,"37.450838,-122.178861"
8471,"37.899345,-122.515013"
13934,"35.3676,-120.844175"
17933,"37.433107,-121.897331"
14599,"37.670847,-120.995675"
8332,"37.836061,-122.128638"
7196,"37.403026233462,-122.07904399865"
9406,"37.552265,-122.049014"
17332,"37.75407,-122.488791"
10829,"38.062328,-122.533141"
20001,"36.604656,-121.92067"
18626,"37.650157,-122.491863"
8154,"37.58261,-122.484004"
17681,"33.628048,-117.634401"
7279,"38.016138,-121.943263"
9653,"37.948643,-122.059731"
9976,"37.934228,-122.072413"
6686,"38.762347,-120.576924"
7965,"36.79207,-121.664316"
18236,"38.5944747924805,-121.292419433594"
17026,"40.57154,-122.352439"
18120,"40.5750389099121,-122.383010864258"
11338,"38.803091404095,-121.27395712925"
9841,"38.347796,-122.708547"
13277,"33.563483,-117.646275"
8139,"38.594414,-121.386656"
17352,"38.686452,-121.339759"
18284,"36.712476,-121.652524"
9404,"37.74374,-122.438769"
7701,"37.782999,-122.431552"
8048,"37.293705,-121.911078"
9563,"37.260392,-121.875191"
8118,"37.219817,-121.861124"
7013,"37.309751,-122.012288"
7957,"37.686185,-122.138301"
12404,"34.863882,-120.417332"
9525,"37.723684,-122.154799"
7618,"37.555893,-122.27548"
7012,"37.970306,-122.529392"
7795,"38.008759,-122.548483"
6771,"37.774574,-121.922129"
7500,"37.394882,-121.9462"
17765,"37.338166,-121.974929"
10911,"36.96159,-122.044284"
8468,"38.465916,-122.652917"
7954,"38.451851,-122.752242"
113976,"32.7121200561523,-117.151924133301"
10744,"37.280872,-122.031484"
8184,"37.046672,-122.030153"
16967,"38.292407,-122.467919"
10398,"36.98622,-121.963422"
15740,"38.945286,-119.967193"
18263,"37.962471,-121.337966"
8074,"37.373105,-122.056914"
8026,"37.356679,-122.017299"
18370,"39.326825,-120.206583"
6855,"37.52088,-120.882815"
16756,"34.032754,-118.494233"
1005299,"35.2821044921875,-120.655029296875"
8053,"39.144071,-123.205916"
7953,"37.587901,-122.020106"
7947,"38.084578,-122.210204"
8627,"38.125532,-122.227115"
7384,"39.403478,-123.349901"
9403,"38.551323,-122.806385"
18532,"37.850315,-122.033849"
11451,"37.987814,-121.784412"
15007,"36.979642,-121.906654"
11936,"37.519886,-122.275589"
7592,"33.096882,-117.199692"
14730,"37.373848,-118.39553"
